pk;"id";"artist";"title";"category";"genre";"cdextra";"year";"track01";"track02";"track03";"track04";"track05";"track06";"track07";"track08";"track09";"track10";"track11";"track12";"track13";"track14";"track15";"track16";"track17";"track18";"track19";"track20";"track21";"track22";"track23";"track24";"track25";"track26";"track27";"track28";"track29";"track30";"track31";"track32";"track33";"track34";"track35";"track36";"track37";"track38";"track39";"track40";"track41";"track42";"track43";"track44";"track45";"track46";"track47";"track48";"track49";"track50";"track51";"track52";"track53";"track54";"track55";"track56";"track57";"track58";"track59";"track60";"track61";"track62";"track63";"track64";"track65";"track66";"track67";"track68";"track69";"track70";"track71";"track72";"track73";"track74";"track75";"track76";"track77";"track78";"track79";"track80";"track81";"track82";"track83";"track84";"track85";"track86";"track87";"track88";"track89";"track90";"track91";"track92";"track93";"track94";"track95";"track96";"track97";"track98";"track99"
1818;"a30a390d";"pink floyd";"the wall disc 1";"data";"Data";"ID3G: 254";;"in the flesh";"the thin ice";"another brick in the wall part 1";"the happiest days of our lives";"another brick in the wall part 2";"mother";"goodbye blue sky";"empty spaces";"young lust";"one of my turns";"dont leave me now";"another brick in the wall part 3";"goodbye cruel world";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;"a3107b0c";"Carlos Santana";"Carlos";"data";;;;"(Da Le) Yaleo";"Love Of My Life";"Put You Love Lights On";"Smooth";"Do You Like The Way?";"Maria Maria";"Maria";"Corazon Espinado";"Whishing Is Was";"El Parol";"Primavera";"the calling";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;"a40cb80f";"Frans Bauer";"'n ons geluk";"data";"Other";;"2004";"'n ONS geluk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;"a70d080c";"2Pac";"Greatest Hits (CD1)";"data";"Rap";"YEAR: 1998 ID3G: 15";"1998";"Keep Ya Head Up";"2 Of Amerikaz Most Wanted (Ft. Snoop Dogg)";"Temptations";"God Bless The Dead";"Hail Mary";"Me Against The World (Ft. Dramacydal)";"How Do You Want It (Ft. KC & JoJo)";"So Many Tears";"Unconditional Love";"Trapped";"Life Goes On";"Hit 'Em Up (Ft. The Outlawz)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;"ab0cf90d";"??";"??";"data";;;;"T?G? 1";"T?G? 2";"T?G? 3";"T?G? 4";"T?G? 5";"T?G? 6";"T?G? 7";"T?G? 8";"T?G? 9";"T?G? 10";"T?G? 11";"T?G? 12";"T?G? 13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;"ad0bec0c";"???";"Modern Worship Shema (??)";"data";"CCM (Contemporary Christian Music)";"ID3G: 38";"2002";"?? ?? ?? ??";"?? ?? ?? ??";"?? ?? ?? ??";"??? ???";"??? ????";"?? ??? ?? ??";"??";"????";"??? (???)";"?? ??? ???";"????";"??? ?? ?? (Cello)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;"a008400c";"Leon Redbone";"Up a Lazy River";"folk";"R&B";;;"01 Play Gipsy Play";"02 At the Chocolate Bon Bon Ball";"03 Lazy River";"04 When Dixie Stars Are Playing Peek-A-Boo";"05 Mr Jelly Roll Baker";"06 Gotta Shake That Thing";"07 You're a Heartbreaker";"08 Bittersweet Waltz";"09 Goodbye Charlie Blues";"10 That Old Familiar Blues";"11 A Dreamer's Holiday";"12 I'm Going Home";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;"a20b090c";"???? ????";"? ??? ?????";"folk";"Folk";;;"?? ?????? ???";"?????";"? ??? ?????";"? ??? ??????;"? ???";"?????";"???";"? ???? ????";"??? ?????;"????;"? ???????;"????????;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;"a308210c";"Alkaline Trio";"Goddamnit!";"folk";"Indie";"YEAR: 1998";"1998";"Cringe";"Cop";"San Francisco";"Nose over Tail";"As You Were";"Enjoy Your Day";"Clavicle";"My Little Needle";"Southern Rock";"Message from Kathlene";"Trouble Breathing";"Sorry About That";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2110;"a40cb80f";"Frans Bauer";"Een Ons Geluk";"folk";"Folk";;"2003";"Een Ons Geluk";"Duizend Rode Rozen";"Morgen Schijnt De Zon";"Ga Met Je Heupen Draaien";"Samen Met Jou Naar Dromenland";"Ga Niet Weg";"Ik Kan Vandaag De Hele Wereld Aan";"Als Het Ja Woord Klinkt";"Eiland In De Zon";"Jij Bent Mijn Leven";"Geheime Liefde";"Ik Heb Het Zo Niet Bedoeld";"De Liefdestango";"Een Trein Naar Niemansland";"DATA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2139;"a50a430c";"James Taylor";"Greatest Hits Vol 1";"folk";"Folk/Rock";;"1976";"Something In The Way She Moves";"Carolina In My Mind";"Fire And Rain";"Sweet Baby James";"Country Road";"You've Got A Friend";"Don't Let Me Be Lonely Tonight";"Walking Man";"How Sweet It Is (To Be Loved By You)";"Mexico";"Shower The People";"Steamroller";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2187;"a60a950d";"??";"???";"folk";"Folk";;;"??";"?????";"???????";"????";"????";"???????";"??????";"? ????;"??? ?;"??";"???????";"12-???";"??";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2188;"a60ad90d";"Estopa";"Destrangis";"folk";;;;"Vino tinto";"Luna lunera";"Destrangis in the night";"Demonios";"Jard? del olvido";"El blade";"Te vi te vi";"Nas? pa la alegr?";"Vuelvo a las andadas";"Ke pasa!?";"Partiendo la pana";"Mi primera cana";"Ojitos rojos";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2252;"a70f160c";"???? International";"???? +";"folk";"Russian Pop";;"2003";"???? feat. ?????";"???? feat. ????;"????feat. ???????;"???????? feat. ?????";"?????? feat. ????";"????? feat. ????";"???feat. ??????;"???feat. ?????;"22 ????feat. ????";"???? ?? ????feat. ????;"Hands up feat. Ottawan";"Video";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2317;"a909860e";"V?m? Spellmannslag";"V?m?'n";"folk";"Folk";"YEAR: 1974 ID3G: 80";"1974";"V?m?stev";"H?lerivisa";"Peder og Hamarforsens brus";"Vinterbruden";"Martin i svingen";"Sp?l ? m?;"V?m?'n";"Gammel Thomas";"Tango kapital";"Porselenstrand";"Jonassen";"Ann Magrit";"D?en han ta";"Johan M?kerbakken";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2366;"aa0a7f0d";"The Greenland Whalefishers";"the mainstreet sword";"folk";"Folk-Rock";;;"1. i am roving.";"2. peggy lettermore.";"3. mary B.";"4. the clown.";"5. the mainstreet sword.";"6. father mclean is a headbanger.";"7. the stranger inside of you.";"8. 4 season song.";"9. a.if.";"9. medley,the irish washerwoman,kaliope house,cape breton jigs.";"10. uthopia.";"11. darkland.";"12. corea wet jam.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
